producto_id,nombre_producto,categoria,precio_unitario
1,Justicia Era,Electronica,128.03
2,Aquellas Aspectos,Electronica,51.97
3,Ese Existencia,Alimentos,409.85
4,Análisis Mi,Hogar,72.91
5,Nuevas Ni,Alimentos,473.96
6,Bueno Hombres,Hogar,139.88
7,Eso Razones,Alimentos,482.54
8,María Solución,Hogar,359.34
9,Políticas Espera,Alimentos,497.62
10,Tienen C,Deportes,224.67
11,Difícil Francisco,Alimentos,69.29
12,Distintos Hace,Hogar,41.37
13,Aparece Menos,Electronica,298.27
14,País Solución,Hogar,298.34
15,Humano Hizo,Electronica,44.79
16,Antes Amigos,Electronica,122.18
17,Control Internacional,Electronica,431.22
18,Solución Santa,Electronica,261.94
19,Madrid Los,Deportes,337.8
20,Entrar Primera,Hogar,274.22
21,Nos Posibilidad,Alimentos,129.07
22,Nuestra Ese,Alimentos,405.67
23,Adelante Calidad,Hogar,56.22
24,Dice Cuya,Alimentos,183.61
25,Esta Bastante,Alimentos,238.84
26,Imágenes Obra,Electronica,339.95
27,Los Papel,Electronica,39.7
28,Objeto Trabajadores,Deportes,402.29
29,Carta Cuenta,Electronica,131.84
30,Centro Atención,Hogar,272.78
31,Grandes Había,Hogar,216.72
32,Ningún Peso,Deportes,236.69
33,Sean Base,Electronica,227.13
34,Uno Alguna,Electronica,34.79
35,Años Internacional,Electronica,484.81
36,Vamos Amigos,Hogar,91.49
37,Bueno Niveles,Alimentos,-25.0
38,Antes Último,Alimentos,452.2
39,Podía Interés,Hogar,195.7
40,Hubiera Zona,Alimentos,139.95
41,Contrario Sector,Alimentos,149.77
42,Entonces Decir,Alimentos,85.85
43,Cambio Lucha,Deportes,116.67
44,Lleva Niveles,Electronica,293.8
45,Debe Domingo,Electronica,376.51
46,Mes Ambos,Electronica,34.57
47,Recuerdo Conseguir,Alimentos,256.4
48,Tuvo Unos,Hogar,37.87
49,Función Espera,Electronica,427.16
50,Ciudad Todavía,Electronica,301.57
