venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,monto_total
1,104,43,2026-05-01,4,116.67,466.68
2,146,14,2026-04-05,2,298.34,596.68
3,149,20,2026-06-30,4,274.22,1096.88
4,11,20,2026-01-19,10,274.22,2742.2
5,21,46,2026-09-08,10,34.57,345.7
6,169,11,2026-03-02,7,69.29,485.03
7,145,38,2025-10-17,10,452.2,4522.0
8,81,38,2025-12-25,9,452.2,4069.8
9,53,35,2025-11-10,5,484.81,2424.05
10,62,11,2026-09-09,6,69.29,415.74
11,102,44,2025-10-02,5,293.8,1469.0
12,172,48,2026-03-18,3,37.87,113.61
13,118,17,2025-09-18,5,431.22,2156.1
14,193,27,2025-09-20,6,39.7,238.2
15,3,5,2025-12-26,2,473.96,947.92
16,160,24,2025-09-24,8,183.61,1468.88
17,26,13,2025-11-30,10,298.27,2982.7
18,138,16,2026-07-24,2,122.18,244.36
19,130,46,2026-07-02,4,34.57,138.28
20,34,1,2026-07-04,5,128.03,640.15
21,18,39,2026-04-08,6,195.7,1174.2
22,95,10,2026-09-06,4,224.67,898.68
23,41,23,2025-12-19,5,56.22,281.1
24,140,38,2026-04-28,8,452.2,3617.6
25,157,24,2026-09-10,5,183.61,918.05
26,3,32,2026-06-26,9,236.69,2130.21
27,77,7,2025-11-11,9,482.54,4342.86
28,35,10,2026-04-14,2,224.67,449.34
29,30,31,2026-04-18,5,216.72,1083.6
30,191,3,2026-08-06,2,409.85,819.7
31,40,30,2026-05-05,9,272.78,2455.02
32,73,23,2026-01-10,5,56.22,281.1
33,54,2,2026-06-29,10,51.97,519.7
34,53,43,2025-09-20,6,116.67,700.02
35,130,1,2025-11-08,5,128.03,640.15
36,65,1,2025-11-21,8,128.03,1024.24
37,24,18,2026-07-14,1,261.94,261.94
38,71,5,2026-02-28,7,473.96,3317.72
39,1,45,2026-01-16,1,376.51,376.51
40,198,4,2025-12-20,6,72.91,437.46
41,164,26,2025-11-01,3,339.95,1019.85
42,42,9,2026-08-18,5,497.62,2488.1
43,142,39,2026-01-23,8,195.7,1565.6
44,144,31,2025-11-27,7,216.72,1517.04
45,29,21,2025-11-26,1,129.07,129.07
46,177,25,2025-09-25,2,238.84,477.68
47,140,7,2026-03-21,3,482.54,1447.62
48,95,50,2026-02-09,1,301.57,301.57
49,142,5,2025-11-17,10,473.96,4739.6
50,111,9,2026-03-13,3,497.62,1492.86
51,11,16,2026-01-16,3,122.18,366.54
52,94,27,2025-12-10,5,39.7,198.5
53,92,22,2025-10-18,1,405.67,405.67
54,175,28,2026-09-10,4,402.29,1609.16
55,171,39,2026-07-05,4,195.7,782.8
56,91,5,2026-05-09,2,473.96,947.92
57,105,48,2026-05-22,9,37.87,340.83
58,192,21,2026-01-16,10,129.07,1290.7
59,61,30,2026-03-21,3,272.78,818.34
60,46,41,2026-05-28,3,149.77,449.31
61,7,4,2025-09-19,7,72.91,510.37
62,189,9,2026-08-10,3,497.62,1492.86
63,106,47,2026-04-19,6,256.4,1538.4
64,69,41,2025-11-03,4,149.77,599.08
65,180,40,2026-03-20,3,139.95,419.85
66,98,17,2026-08-19,2,431.22,862.44
67,121,25,2026-03-23,1,238.84,238.84
68,52,40,2025-10-26,4,139.95,559.8
69,90,25,2026-01-31,8,238.84,1910.72
70,59,40,2025-12-03,5,139.95,699.75
71,7,37,2026-08-12,4,-25.0,-100.0
72,103,14,2025-10-05,4,298.34,1193.36
73,72,35,2025-11-18,6,484.81,2908.86
74,198,24,2026-04-17,2,183.61,367.22
75,90,3,2026-02-10,5,409.85,2049.25
76,103,27,2025-11-10,9,39.7,357.3
77,85,16,2025-10-08,9,122.18,1099.62
78,30,33,2026-06-08,1,227.13,227.13
79,46,38,2026-04-12,5,452.2,2261.0
80,68,27,2025-12-18,10,39.7,397.0
81,28,10,2026-07-21,1,224.67,224.67
82,9999,45,2026-07-09,10,376.51,3765.1
83,187,5,2026-04-02,6,473.96,2843.76
84,112,26,2026-02-18,6,339.95,2039.7
85,131,18,2026-08-17,10,261.94,2619.4
86,99,28,2026-04-03,2,402.29,804.58
